,title,author,release year,synopsis,book length,rating,number of ratings
1003,"Once Ghosted, Twice Shy (Reluctant Royals, #2.5)",Alyssa Cole,2019,"Alyssa Cole returns with a fun, sexy romance novella in the Reluctant Royals series!While her boss the prince was busy wooing his betrothed, Likotsi had her own love affair after swiping right on a dating app. But her romance had ended in heartbreak, and now, back in NYC again, she's determined to rediscover her joy--so of course she runs into the woman who broke her heart",101,3.79,4714
1004,"Worth Any Price (Bow Street Runners, #3)",Lisa Kleypas,2003,"Alternate cover edition of ISBN  9780380811076Nick Gentry is reputed to be the most skillful lover in all England. Known for solving delicate situations, he is hired to seek out Miss Charlotte Howard. He believes his mission will be easily accomplished - but that was before he met the lady in question.For instead of a willful female, he discovers one in desperate circumsta",388,4.02,19683
1005,"Hero (Hero, #1)",Samantha Young,2015,"The emotional and unforgettable new romance from the New York Times bestselling author of the On Dublin Street series.Alexa Holland’s father was her hero—until her shocking discovery that she and her mother weren't his only family. Ever since, Alexa has worked to turn her life in a different direction and forge her own identity outside of his terrible secrets. But when she",410,4.05,32391
1006,"Something Wonderful (Sequels, #2)",Judith McNaught,1988,"This is a previously published edition of ISBN  9780671737634 .Bestselling author Judith McNaught masterfully portrays a remarkable heroine, and an unforgettable passion, in this powerfully moving love story -- one of her most beloved novels of all time!  The tempestuous marriage of Alexandra Lawrence, an innocent country girl, and Jordan Townsende, the rich and powerful D",418,4.31,28330
1007,Anyone But You (Mass Market Paperback),Jennifer Crusie,1996,"For Nina Askew, turning forty means freedom--from the ex-husband, freedom from their stuffy suburban home, freedom to focus on what she wants for a change. And what she wants is something her ex always vetoed--a puppy. A bouncy, adorable puppy. Instead she gets...Fred.Overweight, middle-aged, a bit smelly and obviously depressed, Fred is light-years from perky. But he does",283,3.81,20167
1008,"Branded by Fire (Psy-Changeling, #6)",Nalini Singh,2009,"
Hailed by Christine Feehan as “a major new talent,” NYT bestselling author Nalini Singh now brings together two fierce changelings in her most explosive story yet.
Though DarkRiver sentinel Mercy is feeling the pressure to mate, she savagely resists when Riley Kincaid, a lieutenant from the SnowDancer pack, tries to possess her. The problem is not simply that he pushes ",358,4.26,31242
1009,Catching Jordan (Paperback),Miranda Kenneally,2011,"ONE OF THE BOYSWhat girl doesn't want to be surrounded by gorgeous jocks day in and day out? Jordan Woods isn't just surrounded by hot guys, though-she leads them as the captain and quarterback of her high school football team. They all see her as one of the guys and that's just fine. As long as she gets her athletic scholarship to a powerhouse university.But everything sh",288,3.84,61749
1010,"The Darkest Kiss (Lords of the Underworld, #2)",Gena Showalter,2008,"She has tempted many men...but never found her equal. Until now.Though she has lived for centuries, Anya, goddess of Anarchy, has never known pleasure. Until Lucien, the incarnation of death—a warrior eternally doomed to take souls to the hereafter. He draws her like no other. And Anya will risk anything to have him.But when the merciless Lord of the Underworld is ordered ",384,4.24,54250
1011,"Rhythm, Chord & Malykhin (Kindle Edition)",Mariana Zapata,2015,"Twenty-six-year-old Gaby Barreto might be a lot of things (loyal, sarcastic, one of the guys and a pain in the butt depending on which family member you ask), but dumb isn’t one of them. When her twin brother invites her to go on tour as his band’s merch girl, she isn’t exactly screaming at the top of her lungs with joy.  With no job opportunities pounding on her door, an ",398,3.96,26860
1012,"Valley of Silence (Circle Trilogy, #3)",Nora Roberts,2006,"The battleground has been chosen for the final showdown between those selected by the gods and the minions of the vampire Lilith. But there is one vampire who dares stand against her. And his love for the scholarly queen of Geall will complete the circle of six - and change the face of eternity.Having traveled through the Dance of the Gods to the land of Geall, the circle ",506,4.24,28563
1013,"Hooked (Never After, #1)",Emily McIntire,2021," From international bestselling author Emily McIntire comes a dark and delicious fractured fairy tale reimagining of  Peter Pan.  He wants revenge, but he wants her more…James has always had one agenda: destroy his enemy, Peter Michaels. When Peter’s twenty-year-old daughter Wendy shows up in James’s bar, he sees his way in. Seduce the girl and use her for his revenge. It’",340,3.9,57684
1014,"Rusty Nailed (Cocktail, #2)",Alice Clayton,2014,"In this sequel to Wallbanger, the second book in the Cocktail series, fan favorites Caroline and Simon negotiate the rollercoaster of their new relationship while house-sitting in San Francisco.Playing house was never so much fun—or so confusing. With her boss on her honeymoon, Caroline’s working crazy long hours to keep the interior design company running—especially since",288,3.93,32335
1015,"Night Play (Dark-Hunter, #5; Were-Hunter, #1)",Sherrilyn Kenyon,2004,"Bride McTierney has had it with men. They're cheap, self-centered, and never love her for who she is. But though she prides herself on being independent, deep down she still yearns for a knight in shining armor.She just never expected her knight in shining armor to have a shiny coat of fur...Deadly and tortured, Vane Kattalakis isn't what he seems. Most women lament that t",362,4.34,53073
1016,Yes No Maybe So (ebook),Becky Albertalli,2020,"
New York Times
 bestselling authors Becky Albertalli and Aisha Saeed have crafted a resonant, funny, and memorable story about the power of love and resistance. YESJamie Goldberg is cool with volunteering for his local state senate candidate—as long as he’s behind the scenes. When it comes to speaking to strangers (or, let’s face it, speaking at all to almost anyone), J",464,3.77,22879
1017,Just Haven't Met You Yet (Paperback),Sophie Cousens,2021,"From the New York Times bestselling author of This Time Next Year comes a heartwarming and hilarious tale that asks: What if you pick up the wrong suitcase in an airport, only to fall head over heels for its unseen owner?Laura's business trip to the Channel Islands isn't exactly off to a great start. After unceremoniously dumping everything in her bag in front of the most ",371,3.81,35118
1018,"To Sir, with Love (Paperback)",Lauren Layne,2021,"Romantic comedy following two thirty-somethings who meet on a blind dating app—only to realize that their online chemistry is nothing compared to their offline rivalry.Perpetually cheerful and eager to please, Gracie Cooper strives to make the best out of every situation. So when her father dies just five months after a lung cancer diagnosis, she sets aside her dreams of p",288,3.85,18958
1019,Let's Talk About Love (ebook),Claire Kann,2018,Alice had her whole summer planned. Non-stop all-you-can-eat buffets while marathoning her favorite TV shows (best friends totally included) with the smallest dash of adulting--working at the library to pay her share of the rent. The only thing missing from her perfect plan? Her girlfriend (who ended things when Alice confessed she's asexual). Alice is done with dating--no,304,3.73,9914
1020,"Uglies (Uglies, #1)",Scott Westerfeld,2005,"Tally is about to turn sixteen, and she can't wait. In just a few weeks she'll have the operation that will turn her from a repellent ugly into a stunning pretty. And as a pretty, she'll be catapulted into a high-tech paradise where her only job is to have fun.But Tally's new friend Shay isn't sure she wants to become a pretty. When Shay runs away, Tally learns about a who",425,3.85,622785
1021,Words in Deep Blue (Hardcover),Cath Crowley,2016,"Years ago, Rachel had a crush on Henry Jones. The day before she moved away, she tucked a love letter into his favorite book in his family’s bookshop. She waited. But Henry never came.  Now Rachel has returned to the city—and to the bookshop—to work alongside the boy she’d rather not see, if at all possible, for the rest of her life. But Rachel needs the distraction, and t",273,4.04,32724
1022,"The Luxe (Luxe, #1)",Anna Godbersen,2007,"Pretty girls in pretty dresses, partying until dawn. Irresistible boys with mischievous smiles and dangerous intentions. White lies, dark secrets, and scandalous hookups. This is Manhattan, 1899. Beautiful sisters Elizabeth and Diana Holland rule Manhattan's social scene. Or so it appears. When the girls discover their status among New York City's elite is far from secure,",433,3.64,71900
1023,"Rosaline Palmer Takes the Cake (Winner Bakes All, #1)",Alexis  Hall,2021,"Following the recipe is the key to a successful bake. Rosaline Palmer has always lived by those rules—well, except for when she dropped out of college to raise her daughter, Amelie. Now, with a paycheck as useful as greaseproof paper and a house crumbling faster than biscuits in tea, she’s teetering on the edge of financial disaster. But where there’s a whisk there’s a way",449,3.93,8614
